date,brier_score
10/1/2020,0.03365645781862746
10/10/2020,0.03725071457107843
10/11/2020,0.03692971915441177
10/12/2020,0.036303766482843135
10/13/2020,0.036154009142156864
10/14/2020,0.03685045544117647
10/15/2020,0.03547345835784313
10/16/2020,0.034988914742647065
10/17/2020,0.034702197009803926
10/18/2020,0.0344962206004902
10/19/2020,0.034276709950980394
10/2/2020,0.03406748343137255
10/20/2020,0.035190976899509806
10/21/2020,0.036686211617647055
10/22/2020,0.035211036151960785
10/23/2020,0.03482946887254903
10/24/2020,0.03463202337009804
10/25/2020,0.03425601974264706
10/26/2020,0.038903563296568626
10/27/2020,0.039990944828431386
10/28/2020,0.04034223688725491
10/3/2020,0.03216272703431373
10/4/2020,0.03321171767156862
10/5/2020,0.03331391170343138
10/6/2020,0.034014342549019604
10/7/2020,0.03330449647058824
10/8/2020,0.03569399639705882
10/9/2020,0.03677585015931373
11/1/2020,0.032568104289215694
11/2/2020,0.034135291513480395
11/3/2020,0.03676160463235295
8/16/2020,0.03991688409555765
8/17/2020,0.03846806724892777
8/18/2020,0.037772579944178944
8/19/2020,0.03770722338391547
8/20/2020,0.03850895444635422
8/21/2020,0.03778901374856007
8/22/2020,0.038347857862285534
8/23/2020,0.0372090810546875
8/24/2020,0.03787156971908711
8/25/2020,0.03895163235294117
8/26/2020,0.03768696078431372
8/28/2020,0.03772008156862746
8/29/2020,0.03710032971813726
8/30/2020,0.035723488039215684
8/31/2020,0.03664295685049019
9/1/2020,0.03643773636029412
9/10/2020,0.03427438454656863
9/11/2020,0.03376049606617647
9/12/2020,0.03398092441176471
9/13/2020,0.0337795206372549
9/14/2020,0.03347550468137254
9/15/2020,0.03345239504901961
9/16/2020,0.033333038063725486
9/17/2020,0.033930815833333336
9/18/2020,0.033898133835784314
9/19/2020,0.03307381613970588
9/2/2020,0.03444759518382353
9/20/2020,0.033301109105392156
9/21/2020,0.03324237075980392
9/22/2020,0.03242748243872549
9/23/2020,0.032341318345588246
9/24/2020,0.033281798419117645
9/25/2020,0.03312311067401961
9/26/2020,0.03322865220588235
9/27/2020,0.033290968112745095
9/28/2020,0.03295495311274511
9/29/2020,0.03329613481617647
9/3/2020,0.035250929166666695
9/30/2020,0.03282801367647059
9/4/2020,0.03443682151960785
9/5/2020,0.03380690403186275
9/6/2020,0.03357082340686275
9/7/2020,0.03354198388480392
9/8/2020,0.03319143009803921
9/9/2020,0.03296809216911764
10/29/2020,0.03710032971813725
10/30/2020,0.035723488039215684
10/31/2020,0.03664295685049019
