,answer,bet365,skybet,WilliamHill,888sport,betfair,betvictor,paddypower,unibet,betfred,betway,10bet,BoyleSports,vbet,novibet,sportingbet,gentingbet,SportPesa,sportnation,spreadex,divider,betfairexchange,smarketsstate,smarkets,state
1,1,10/11,1,11/10,1,,1,11/10,5/6,20/21,,,,,1,,,,,,1,21/20,,,North-Carolina
0,,1/66,1/100,1/300,,1/300,1/100,1/100,,,,,,1/33,,,,,,1/50,,,,Democrats,North-Dakota
1,14,,14,12,12,,12,12,16,,,,,,10,,,,,,25,,,,North-Dakota
0,,1/50,1/100,1/100,,1/100,1/100,1/33,,,,,,1/33,,,,,,1/50,,,,Democrats,Nebraska-Statewide
1,10,,12,10,10,,10,10,10,,,,,,10,,,,,,49/5,,,,Nebraska-Statewide
0,,1/200,,,,,,1/200,,,,,,,,,,,,,,,,Republicans,Washington-Dc
1,,,20,,,,,,20,,,,,,,,,,,,,,,,Washington-Dc
0,1/3,2/9,33/ 100,1/3,,1/3,33/ 100,1/3,1/3,,,,,3/10,,,,,,1/3,1/4,,,Republicans,New-Hampshire
1,9/4,9/4,3,2,2,,2,2,9/4,21/10,,,,,5/2,,,,,,11/5,23/10,,,New-Hampshire
0,,1/33,1/40,1/25,,1/25,1/40,1/33,1/33,,,,,1/25,,,,,,1/25,,,,Republicans,New-Jersey
1,9,,10,8,9,,9,8,10,10,,,,,9,,,,,,20,,,,New-Jersey
0,1/10,1/10,1/16,1/10,,1/10,1/16,1/10,1/10,,,,,1/10,,,,,,1/8,,,,Republicans,New-Mexico
1,11/2,11/2,11/2,11/2,5,,5,11/2,11/2,11/2,,,,,11/2,,,,,,26/5,,,,New-Mexico
0,1/8,1/6,11/50,1/5,,1/5,11/50,1/6,1/6,,,,,3/19,,,,,,1/4,2/9,,,Republicans,Nevada
1,4,9/2,7/2,11/4,3,,3,11/4,7/2,7/2,,,,,7/2,,,,,,3,12/5,,,Nevada
0,,1/66,1/100,1/50,,1/50,1/100,1/100,1/50,,,,,1/20,,,,,,1/50,,,,Republicans,New-York
1,16,,14,12,10,,10,12,16,12,,,,,15/2,,,,,,49/5,,,,New-York
0,8/13,4/6,13/20,4/6,,4/6,13/20,8/13,4/7,,,,,4/6,,,,,,4/7,8/15,,,Democratic,Ohio
1,6/5,6/5,11/10,11/10,11/10,,11/10,11/10,6/5,5/4,,,,,11/10,,,,,,6/5,23/20,,,Ohio
0,,1/50,1/100,1/100,,1/100,1/100,1/100,,,,,,1/33,,,,,,1/50,,,,Democrats,Oklahoma
1,16,,12,12,10,,10,12,16,,,,,,10,,,,,,25,,,,Oklahoma
0,1/33,1/50,1/40,1/25,,1/25,1/40,1/33,1/33,,,,,1/25,,,,,,1/16,1/25,,,Republicans,Oregon
1,12,10,12,8,17/2,,17/2,8,10,9,,,,,10,,,,,,44/5,28/5,,,Oregon
0,2/5,3/10,3/10,3/10,,3/10,3/10,4/11,4/9,,,,,3/10,,,,,,4/9,1/3,,,Republicans,Pennsylvania
1,13/8,7/4,12/5,11/5,11/5,,11/5,11/5,2,13/8,,,,,9/4,,,,,,15/8,7/4,,,Pennsylvania
0,,1/50,1/50,1/100,,1/100,1/50,1/33,1/33,,,,,1/33,,,,,,1/33,,,,Republicans,Rhode-Island
1,12,,12,9,10,,10,9,10,10,,,,,10,,,,,,49/5,,,,Rhode-Island
0,,1/10,1/50,1/18,,1/18,1/50,1/25,1/20,,,,,1/10,,,,,,1/9,1/16,,,Democrats,South-Carolina
1,8,,11/2,8,13/2,,13/2,8,9,7,,,,,5,,,,,,6,27/5,,,South-Carolina
0,,1/33,1/50,1/100,,1/100,1/50,1/100,,,,,,1/25,,,,,,1/50,,,,Democrats,South-Dakota
1,16,,10,10,10,,10,10,16,,,,,,9,,,,,,49/5,,,,South-Dakota
0,,1/50,1/50,1/100,,1/100,1/50,1/50,,,,,,1/20,,,,,,1/50,,,,Democrats,Tennessee
1,12,,12,9,17/2,,17/2,9,12,,,,,,8,,,,,,49/5,,,,Tennessee
0,2/5,1/2,11/25,4/11,,4/11,11/25,2/5,4/9,,,,,5/11,,,,,,4/11,4/11,,,Democratic,Texas
1,7/4,7/4,6/4,8/5,15/8,,15/8,8/5,7/4,13/8,,,,,8/5,,,,,,19/10,8/5,,,Texas
0,,1/10,1/50,1/14,,1/14,1/50,1/16,1/12,,,,,1/10,,,,,,1/7,,,,Democrats,Utah
1,11/2,,11/2,8,6,,6,8,7,11/2,,,,,5,,,,,,28/5,,,,Utah
0,1/10,1/10,1/7,1/7,,1/7,1/7,1/8,3/20,,,,,1/8,,,,,,1/8,1/8,,,Republicans,Virginia
1,10/3,11/2,11/2,7/2,4,,4,7/2,9/2,15/4,,,,,9/2,,,,,,10/3,7/2,,,Virginia
0,,1/50,1/100,1/100,,1/100,1/100,1/50,,,,,,1/41,,,,,,1/100,,,,Republicans,Vermont
1,14,,12,12,10,,10,12,12,,,,,,12,,,,,,81/5,,,,Vermont
0,1/33,1/50,1/50,1/25,,1/25,1/50,1/25,1/20,,,,,1/25,,,,,,1/33,,,,Republicans,Washington-State
1,14,12,12,10,15/2,,15/2,10,9,8,,,,,9,,,,,,25,,,,Washington-State
0,4/9,4/11,33/ 100,1/3,,1/3,33/ 100,4/9,9/20,,,,,2/5,,,,,,4/9,4/11,,,Republicans,Wisconsin
1,13/8,13/8,2,2,2,,2,2,13/8,31/20,,,,,7/4,,,,,,21/10,13/8,,,Wisconsin
0,,1/66,1/100,1/100,,1/100,1/100,1/100,,,,,,1/33,,,,,,1/50,,,,Democrats,West-Virginia
1,14,,12,11,10,,10,11,16,,,,,,10,,,,,,49/5,,,,West-Virginia
0,,1/66,1/100,1/100,,1/100,1/100,1/100,,,,,,1/41,,,,,,1/100,,,,Democrats,Wyoming
1,20,,12,14,10,,10,14,16,,,,,,12,,,,,,51/5,,,,Wyoming
